job_title,skills,link
Data Analyst,python sql excel,https://www.linkedin.com/jobs/data-analyst
Web Developer,html css javascript,https://www.linkedin.com/jobs/web-developer
Backend Developer,python flask api,https://www.linkedin.com/jobs/backend-developer

Data Analyst,python sql excel,https://internshala.com/jobs/data-analyst-jobs/
Data Scientist,python machine-learning pandas,https://internshala.com/jobs/data-scientist-jobs/
Web Developer,html css javascript,https://internshala.com/jobs/web-development-jobs/

Data Analyst,python sql excel,https://www.naukri.com/data-analyst-jobs
Data Scientist,python machine-learning pandas,https://www.naukri.com/data-scientist-jobs
Web Developer,html css javascript,https://www.naukri.com/web-developer-jobs